episode_id,host_gender,guest_gender,dyad
ep_018_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_115_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_306_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_128_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_322_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_337_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_345_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_152_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_326_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_125_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_331_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_031_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_309_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_301_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_119_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_135_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_116_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_114_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_338_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_138_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_299_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_332_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_321_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_340_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_132_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_120_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_157_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_153_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_134_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_151_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_305_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_342_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_318_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_123_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_304_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_334_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_317_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_312_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_264_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_320_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_022_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_142_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_024_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_324_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_315_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_307_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_150_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_328_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_121_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_143_whisperx_diarized.gender.host_guest,female,male,FEMALE->MALE
ep_325_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_124_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_327_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_141_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_149_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_355_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_346_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_310_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_349_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_139_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_358_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_118_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_329_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_330_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_129_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_147_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_126_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_122_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_353_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_311_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_352_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_351_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_359_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_145_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_131_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_146_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_303_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_323_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_339_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_308_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_137_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_011_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_354_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_336_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_316_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_344_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_013_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_268_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_015_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_356_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_343_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_335_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_302_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_350_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_133_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_300_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_148_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_360_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_228_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
ep_127_whisperx_diarized.gender.host_guest,female,female,FEMALE->FEMALE
